email address,item01 score,item02 score,item03 score,item04 score,item05 score,item06 score,item07 score,item08 score,item09 score,item10 score,item11 score,item01 responded at,item02 responded at,item03 responded at,item04 responded at,item05 responded at,item06 responded at,item07 responded at,item08 responded at,item09 responded at,item10 responded at,item11 responded at
UTKIJ1509E@gmail.com,1,1,1,1,1,1,1,1,1,1,0,2017-03-01T01:01:59Z,2017-03-01T01:02:07Z,2017-03-01T01:02:18Z,2017-03-01T01:02:40Z,2017-03-01T01:02:59Z,2017-03-01T01:03:48Z,2017-03-01T01:04:45Z,2017-03-01T01:05:37Z,2017-03-01T01:06:30Z,2017-03-01T01:07:21Z,2017-03-01T01:08:07Z
UPXWZ8813U@gmail.com,0,1,1,1,1,0,0,1,0,1,1,2017-03-01T13:18:37Z,2017-03-01T13:18:55Z,2017-03-01T13:19:12Z,2017-03-01T13:19:31Z,2017-03-01T13:19:55Z,2017-03-01T13:20:42Z,2017-03-01T13:21:33Z,2017-03-01T13:22:21Z,2017-03-01T13:23:08Z,2017-03-01T13:23:59Z,2017-03-01T13:24:51Z
ECDEM7888E@gmail.com,1,0,1,0,1,1,0,1,1,1,1,2017-03-01T13:59:18Z,2017-03-01T13:59:25Z,2017-03-01T13:59:49Z,2017-03-01T14:00:08Z,2017-03-01T14:00:22Z,2017-03-01T14:01:06Z,2017-03-01T14:01:51Z,2017-03-01T14:02:38Z,2017-03-01T14:03:27Z,2017-03-01T14:04:21Z,2017-03-01T14:05:12Z
NWGDV0987P@gmail.com,1,1,1,0,1,1,1,1,0,1,0,2017-03-01T17:37:30Z,2017-03-01T17:37:47Z,2017-03-01T17:37:56Z,2017-03-01T17:38:14Z,2017-03-01T17:38:36Z,2017-03-01T17:39:17Z,2017-03-01T17:40:10Z,2017-03-01T17:40:56Z,2017-03-01T17:41:44Z,2017-03-01T17:42:33Z,2017-03-01T17:43:32Z
FTXHN4576J@gmail.com,1,1,1,1,1,1,0,1,1,1,1,2017-03-02T16:31:41Z,2017-03-02T16:31:50Z,2017-03-02T16:32:05Z,2017-03-02T16:32:32Z,2017-03-02T16:32:50Z,2017-03-02T16:33:34Z,2017-03-02T16:34:23Z,2017-03-02T16:35:05Z,2017-03-02T16:35:59Z,2017-03-02T16:36:54Z,2017-03-02T16:37:46Z
ITNWT9882E@gmail.com,1,1,1,1,1,1,1,1,1,1,0,2017-03-03T07:31:06Z,2017-03-03T07:31:18Z,2017-03-03T07:31:32Z,2017-03-03T07:31:53Z,2017-03-03T07:32:15Z,2017-03-03T07:33:07Z,2017-03-03T07:33:58Z,2017-03-03T07:34:53Z,2017-03-03T07:35:51Z,2017-03-03T07:36:40Z,2017-03-03T07:37:27Z
FANED5031A@gmail.com,1,1,1,1,0,1,0,1,1,1,1,2017-03-04T05:16:42Z,2017-03-04T05:16:44Z,2017-03-04T05:16:54Z,2017-03-04T05:17:13Z,2017-03-04T05:17:31Z,2017-03-04T05:18:12Z,2017-03-04T05:19:05Z,2017-03-04T05:19:51Z,2017-03-04T05:20:39Z,2017-03-04T05:21:26Z,2017-03-04T05:22:20Z
FQYJV1821Q@gmail.com,1,1,1,1,1,1,1,1,1,1,1,2017-03-04T10:54:29Z,2017-03-04T10:54:41Z,2017-03-04T10:54:57Z,2017-03-04T10:55:14Z,2017-03-04T10:55:35Z,2017-03-04T10:56:20Z,2017-03-04T10:57:07Z,2017-03-04T10:57:49Z,2017-03-04T10:58:35Z,2017-03-04T10:59:08Z,2017-03-04T10:59:54Z
DAVYO4155E@gmail.com,1,1,1,0,1,1,1,1,1,1,1,2017-03-04T11:08:11Z,2017-03-04T11:08:20Z,2017-03-04T11:08:41Z,2017-03-04T11:08:50Z,2017-03-04T11:09:11Z,2017-03-04T11:10:01Z,2017-03-04T11:10:52Z,2017-03-04T11:11:40Z,2017-03-04T11:12:28Z,2017-03-04T11:13:17Z,2017-03-04T11:14:01Z
IJEFL0871K@gmail.com,1,1,1,0,0,1,1,1,0,1,0,2017-03-04T12:38:08Z,2017-03-04T12:38:18Z,2017-03-04T12:38:36Z,2017-03-04T12:38:57Z,2017-03-04T12:39:16Z,2017-03-04T12:40:02Z,2017-03-04T12:40:51Z,2017-03-04T12:41:43Z,2017-03-04T12:42:33Z,2017-03-04T12:43:30Z,2017-03-04T12:44:13Z
BRIEQ5909Q@gmail.com,1,0,1,1,1,0,0,1,1,1,1,2017-03-04T14:38:38Z,2017-03-04T14:38:49Z,2017-03-04T14:39:08Z,2017-03-04T14:39:25Z,2017-03-04T14:39:47Z,2017-03-04T14:40:29Z,2017-03-04T14:41:21Z,2017-03-04T14:42:10Z,2017-03-04T14:43:01Z,2017-03-04T14:43:53Z,2017-03-04T14:44:36Z
JBDKB3414Z@gmail.com,1,1,1,1,1,1,0,0,1,0,0,2017-03-04T22:03:52Z,2017-03-04T22:04:04Z,2017-03-04T22:04:21Z,2017-03-04T22:04:43Z,2017-03-04T22:05:06Z,2017-03-04T22:05:50Z,2017-03-04T22:06:39Z,2017-03-04T22:07:25Z,2017-03-04T22:08:20Z,2017-03-04T22:09:05Z,2017-03-04T22:09:53Z
GFQZO4207H@gmail.com,1,1,1,1,1,1,1,0,0,1,1,2017-03-05T02:00:54Z,2017-03-05T02:00:59Z,2017-03-05T02:01:12Z,2017-03-05T02:01:32Z,2017-03-05T02:01:52Z,2017-03-05T02:02:37Z,2017-03-05T02:03:34Z,2017-03-05T02:04:27Z,2017-03-05T02:05:17Z,2017-03-05T02:06:05Z,2017-03-05T02:06:50Z
KPLPN4382B@gmail.com,1,1,1,1,1,1,1,1,1,1,1,2017-03-05T08:27:08Z,2017-03-05T08:27:20Z,2017-03-05T08:27:34Z,2017-03-05T08:28:00Z,2017-03-05T08:28:24Z,2017-03-05T08:29:10Z,2017-03-05T08:30:00Z,2017-03-05T08:30:48Z,2017-03-05T08:31:37Z,2017-03-05T08:32:19Z,2017-03-05T08:33:13Z
XRSUA4670N@gmail.com,1,1,1,1,1,1,1,1,1,1,1,2017-03-05T13:36:52Z,2017-03-05T13:37:09Z,2017-03-05T13:37:21Z,2017-03-05T13:37:42Z,2017-03-05T13:37:58Z,2017-03-05T13:38:36Z,2017-03-05T13:39:26Z,2017-03-05T13:40:13Z,2017-03-05T13:40:57Z,2017-03-05T13:41:46Z,2017-03-05T13:42:32Z
VQGTN2070F@gmail.com,1,1,1,1,1,1,1,0,0,1,0,2017-03-05T14:50:22Z,2017-03-05T14:50:37Z,2017-03-05T14:50:50Z,2017-03-05T14:51:07Z,2017-03-05T14:51:23Z,2017-03-05T14:52:07Z,2017-03-05T14:52:56Z,2017-03-05T14:53:39Z,2017-03-05T14:54:29Z,2017-03-05T14:55:16Z,2017-03-05T14:56:08Z
