email address,item01 score,item02 score,item03 score,item04 score,item05 score,item06 score,item07 score,item08 score,item09 score,item10 score,item11 score,item01 responded at,item02 responded at,item03 responded at,item04 responded at,item05 responded at,item06 responded at,item07 responded at,item08 responded at,item09 responded at,item10 responded at,item11 responded at
UTKIJ1509E@gmail.com,0,0,0,1,1,0,0,1,1,1,0,2017-04-01T05:34:23Z,2017-04-01T05:34:32Z,2017-04-01T05:34:48Z,2017-04-01T05:35:05Z,2017-04-01T05:35:24Z,2017-04-01T05:36:10Z,2017-04-01T05:37:00Z,2017-04-01T05:37:53Z,2017-04-01T05:38:44Z,2017-04-01T05:39:35Z,2017-04-01T05:40:26Z
UPXWZ8813U@gmail.com,1,0,1,1,1,1,0,1,0,1,1,2017-04-01T07:51:53Z,2017-04-01T07:52:05Z,2017-04-01T07:52:16Z,2017-04-01T07:52:37Z,2017-04-01T07:52:52Z,2017-04-01T07:53:40Z,2017-04-01T07:54:34Z,2017-04-01T07:55:27Z,2017-04-01T07:56:15Z,2017-04-01T07:57:03Z,2017-04-01T07:57:54Z
ECDEM7888E@gmail.com,1,0,1,1,1,1,0,1,1,1,0,2017-04-01T08:33:07Z,2017-04-01T08:33:24Z,2017-04-01T08:33:43Z,2017-04-01T08:34:08Z,2017-04-01T08:34:26Z,2017-04-01T08:35:13Z,2017-04-01T08:36:10Z,2017-04-01T08:36:59Z,2017-04-01T08:37:46Z,2017-04-01T08:38:36Z,2017-04-01T08:39:20Z
NWGDV0987P@gmail.com,1,0,1,1,0,0,0,1,1,1,1,2017-04-01T13:40:10Z,2017-04-01T13:40:20Z,2017-04-01T13:40:32Z,2017-04-01T13:40:49Z,2017-04-01T13:41:11Z,2017-04-01T13:41:56Z,2017-04-01T13:42:55Z,2017-04-01T13:43:48Z,2017-04-01T13:44:36Z,2017-04-01T13:45:33Z,2017-04-01T13:46:25Z
FTXHN4576J@gmail.com,0,1,1,1,1,1,0,0,0,1,1,2017-04-01T14:04:25Z,2017-04-01T14:04:37Z,2017-04-01T14:04:56Z,2017-04-01T14:05:23Z,2017-04-01T14:05:41Z,2017-04-01T14:06:28Z,2017-04-01T14:07:17Z,2017-04-01T14:08:07Z,2017-04-01T14:08:55Z,2017-04-01T14:09:43Z,2017-04-01T14:10:34Z
ITNWT9882E@gmail.com,0,0,0,1,1,1,1,1,0,1,1,2017-04-01T18:17:52Z,2017-04-01T18:18:05Z,2017-04-01T18:18:22Z,2017-04-01T18:18:47Z,2017-04-01T18:19:02Z,2017-04-01T18:19:55Z,2017-04-01T18:20:43Z,2017-04-01T18:21:35Z,2017-04-01T18:22:25Z,2017-04-01T18:23:13Z,2017-04-01T18:24:06Z
FANED5031A@gmail.com,1,0,1,1,1,0,1,1,1,1,0,2017-04-02T05:31:53Z,2017-04-02T05:32:08Z,2017-04-02T05:32:17Z,2017-04-02T05:32:36Z,2017-04-02T05:33:03Z,2017-04-02T05:33:50Z,2017-04-02T05:34:39Z,2017-04-02T05:35:27Z,2017-04-02T05:36:26Z,2017-04-02T05:37:18Z,2017-04-02T05:38:13Z
FQYJV1821Q@gmail.com,0,1,1,1,1,0,1,1,1,0,0,2017-04-02T13:40:50Z,2017-04-02T13:41:00Z,2017-04-02T13:41:15Z,2017-04-02T13:41:30Z,2017-04-02T13:41:45Z,2017-04-02T13:42:27Z,2017-04-02T13:43:18Z,2017-04-02T13:44:12Z,2017-04-02T13:45:04Z,2017-04-02T13:46:03Z,2017-04-02T13:46:52Z
DAVYO4155E@gmail.com,1,1,1,0,1,0,0,1,0,1,1,2017-04-02T20:38:08Z,2017-04-02T20:38:17Z,2017-04-02T20:38:29Z,2017-04-02T20:38:46Z,2017-04-02T20:39:02Z,2017-04-02T20:39:48Z,2017-04-02T20:40:41Z,2017-04-02T20:41:27Z,2017-04-02T20:42:13Z,2017-04-02T20:43:07Z,2017-04-02T20:43:53Z
IJEFL0871K@gmail.com,0,0,1,1,1,1,0,1,1,1,0,2017-04-03T03:55:32Z,2017-04-03T03:55:49Z,2017-04-03T03:56:05Z,2017-04-03T03:56:21Z,2017-04-03T03:56:36Z,2017-04-03T03:57:18Z,2017-04-03T03:58:05Z,2017-04-03T03:58:59Z,2017-04-03T03:59:54Z,2017-04-03T04:00:47Z,2017-04-03T04:01:40Z
BRIEQ5909Q@gmail.com,1,0,1,0,1,1,0,1,1,1,0,2017-04-03T05:45:45Z,2017-04-03T05:46:00Z,2017-04-03T05:46:21Z,2017-04-03T05:46:45Z,2017-04-03T05:47:01Z,2017-04-03T05:47:43Z,2017-04-03T05:48:33Z,2017-04-03T05:49:16Z,2017-04-03T05:50:13Z,2017-04-03T05:51:04Z,2017-04-03T05:51:54Z
JBDKB3414Z@gmail.com,0,0,0,1,0,1,0,1,1,1,0,2017-04-03T07:54:21Z,2017-04-03T07:54:36Z,2017-04-03T07:54:48Z,2017-04-03T07:55:06Z,2017-04-03T07:55:27Z,2017-04-03T07:56:10Z,2017-04-03T07:56:55Z,2017-04-03T07:57:46Z,2017-04-03T07:58:32Z,2017-04-03T07:59:23Z,2017-04-03T08:00:14Z
GFQZO4207H@gmail.com,1,1,0,1,1,1,0,1,0,1,1,2017-04-03T10:37:27Z,2017-04-03T10:37:30Z,2017-04-03T10:37:41Z,2017-04-03T10:37:59Z,2017-04-03T10:38:23Z,2017-04-03T10:39:02Z,2017-04-03T10:39:54Z,2017-04-03T10:40:44Z,2017-04-03T10:41:27Z,2017-04-03T10:42:15Z,2017-04-03T10:43:07Z
KPLPN4382B@gmail.com,1,1,1,1,0,1,1,1,0,0,1,2017-04-03T10:40:47Z,2017-04-03T10:41:01Z,2017-04-03T10:41:12Z,2017-04-03T10:41:34Z,2017-04-03T10:41:58Z,2017-04-03T10:42:46Z,2017-04-03T10:43:30Z,2017-04-03T10:44:24Z,2017-04-03T10:45:06Z,2017-04-03T10:46:00Z,2017-04-03T10:46:57Z
XRSUA4670N@gmail.com,0,1,0,1,0,1,0,1,0,1,0,2017-04-03T15:58:44Z,2017-04-03T15:58:58Z,2017-04-03T15:59:16Z,2017-04-03T15:59:33Z,2017-04-03T15:59:54Z,2017-04-03T16:00:36Z,2017-04-03T16:01:26Z,2017-04-03T16:02:22Z,2017-04-03T16:03:11Z,2017-04-03T16:04:04Z,2017-04-03T16:04:55Z
VQGTN2070F@gmail.com,1,1,0,1,1,1,1,1,1,1,0,2017-04-03T16:54:16Z,2017-04-03T16:54:25Z,2017-04-03T16:54:40Z,2017-04-03T16:54:56Z,2017-04-03T16:55:16Z,2017-04-03T16:55:57Z,2017-04-03T16:56:45Z,2017-04-03T16:57:37Z,2017-04-03T16:58:28Z,2017-04-03T16:59:17Z,2017-04-03T17:00:06Z
WHGTB4681C@gmail.com,0,0,0,1,1,1,1,1,1,0,1,2017-04-03T22:35:24Z,2017-04-03T22:35:30Z,2017-04-03T22:35:45Z,2017-04-03T22:36:07Z,2017-04-03T22:36:25Z,2017-04-03T22:37:07Z,2017-04-03T22:38:01Z,2017-04-03T22:38:48Z,2017-04-03T22:39:28Z,2017-04-03T22:40:24Z,2017-04-03T22:41:12Z
NDUUR9603H@gmail.com,1,0,1,1,1,1,0,0,1,0,1,2017-04-04T14:14:54Z,2017-04-04T14:15:03Z,2017-04-04T14:15:15Z,2017-04-04T14:15:38Z,2017-04-04T14:15:49Z,2017-04-04T14:16:34Z,2017-04-04T14:17:27Z,2017-04-04T14:18:22Z,2017-04-04T14:19:14Z,2017-04-04T14:20:03Z,2017-04-04T14:20:59Z
