email address,final exam
ADRXM8548M@gmail.com,83.16528925619835
AIHCX0701R@gmail.com,84.81818181818183
AKEQL1346T@gmail.com,90.60330578512396
AKQQE8969S@gmail.com,82.33884297520662
BAWOC1960B@gmail.com,98.0413223140496
BKIOW0513J@gmail.com,81.51239669421489
BRIEQ5909Q@gmail.com,74.900826446281
BVJKR5755W@gmail.com,88.9504132231405
BWQGS4710O@gmail.com,88.12396694214877
BYZPV4318L@gmail.com,85.64462809917356
CVYKH4988U@gmail.com,80.68595041322314
CZAVS0053M@gmail.com,78.20661157024794
DASMA1894X@gmail.com,90.60330578512396
DAVYO4155E@gmail.com,69.94214876033058
DJVEO6359D@gmail.com,86.47107438016529
DZMNT3729B@gmail.com,82.33884297520662
EBUYC7201D@gmail.com,93.9090909090909
ECDEM7888E@gmail.com,68.28925619834712
EKQKO8875M@gmail.com,92.25619834710744
FANED5031A@gmail.com,73.24793388429752
FBHKV0406U@gmail.com,90.60330578512396
FDWGC4708G@gmail.com,77.3801652892562
FKRPD9169N@gmail.com,89.77685950413223
FNUVA5346I@gmail.com,77.3801652892562
FQYJV1821Q@gmail.com,74.900826446281
FTXHN4576J@gmail.com,69.11570247933885
FYPMM8353A@gmail.com,73.24793388429752
GFQZO4207H@gmail.com,77.3801652892562
GJMBW2676L@gmail.com,79.85950413223141
GWFFO8659O@gmail.com,89.77685950413223
HLFSW3732W@gmail.com,79.03305785123968
IJEFL0871K@gmail.com,67.46280991735537
IKIBA2457S@gmail.com,90.60330578512396
IOETV2344N@gmail.com,69.94214876033058
IPXRS7337J@gmail.com,70.76859504132231
ITNWT9882E@gmail.com,74.07438016528926
JAOKI3927R@gmail.com,80.68595041322314
JBDKB3414Z@gmail.com,69.11570247933885
JBYNO3877V@gmail.com,83.99173553719008
JCKTH5993C@gmail.com,91.42975206611571
JEVNW9860X@gmail.com,80.68595041322314
JGGUK3322P@gmail.com,89.77685950413223
JJFSU7203Z@gmail.com,74.900826446281
JOQTV6943S@gmail.com,77.3801652892562
JUOXO9053O@gmail.com,74.07438016528926
KMRZI6749V@gmail.com,84.81818181818183
KPLPN4382B@gmail.com,76.55371900826447
LEEEH0873L@gmail.com,77.3801652892562
NCPBD5587V@gmail.com,77.3801652892562
NDUUR9603H@gmail.com,74.07438016528926
NNLWY8929I@gmail.com,90.60330578512396
NOGTD4258Z@gmail.com,83.16528925619835
NSDUU8650E@gmail.com,82.33884297520662
NWGDV0987P@gmail.com,72.42148760330579
OXBRP6553S@gmail.com,88.12396694214877
PBVHI1554X@gmail.com,74.900826446281
PDHRO0690J@gmail.com,78.20661157024794
PHQLN7413A@gmail.com,82.33884297520662
PKLWJ0230E@gmail.com,87.29752066115702
PPLLQ1264K@gmail.com,79.85950413223141
PTFZY2788V@gmail.com,93.08264462809917
PVQDU0583C@gmail.com,93.08264462809917
QAEQG1501P@gmail.com,87.29752066115702
QZTWY5098I@gmail.com,84.81818181818183
RAXUM4201L@gmail.com,87.29752066115702
RQTBS8547K@gmail.com,87.29752066115702
RSOQS8631L@gmail.com,82.33884297520662
RSTAD2733V@gmail.com,88.12396694214877
RXKXO4058L@gmail.com,83.99173553719008
SEKUR1493B@gmail.com,85.64462809917356
SNXMG9916L@gmail.com,84.81818181818183
SRSUG4087E@gmail.com,80.68595041322314
SSWXX5160S@gmail.com,88.9504132231405
TGEJI0425L@gmail.com,72.42148760330579
TKXPX2055O@gmail.com,91.42975206611571
TSZNG1758Q@gmail.com,88.9504132231405
TZLGQ2186O@gmail.com,66.63636363636363
UPQQY8595I@gmail.com,81.51239669421489
UPXWZ8813U@gmail.com,76.55371900826447
UTKIJ1509E@gmail.com,73.24793388429752
VAIIC2097B@gmail.com,88.9504132231405
VDDTS4658H@gmail.com,75.72727272727273
VGCXM6138O@gmail.com,76.55371900826447
VIKNZ8532R@gmail.com,77.3801652892562
VQGTN2070F@gmail.com,74.900826446281
WGBIA4052Y@gmail.com,76.55371900826447
WHGTB4681C@gmail.com,70.76859504132231
WKTAX2211O@gmail.com,82.33884297520662
WUCGG4227B@gmail.com,79.03305785123968
XCGVY6817O@gmail.com,71.59504132231406
XGFPV9254M@gmail.com,80.68595041322314
XPNEO7211E@gmail.com,91.42975206611571
XRSUA4670N@gmail.com,73.24793388429752
XVLCS2113D@gmail.com,89.77685950413223
XWCBC6822O@gmail.com,88.12396694214877
YLLRB3565Q@gmail.com,76.55371900826447
YLZVM0087Q@gmail.com,82.33884297520662
ZBJML4236G@gmail.com,81.51239669421489
ZLIHB8772J@gmail.com,88.12396694214877
ZYOIJ2808Z@gmail.com,71.59504132231406
