email address,item01 score,item02 score,item03 score,item04 score,item05 score,item06 score,item07 score,item08 score,item09 score,item10 score,item11 score,item01 responded at,item02 responded at,item03 responded at,item04 responded at,item05 responded at,item06 responded at,item07 responded at,item08 responded at,item09 responded at,item10 responded at,item11 responded at
UTKIJ1509E@gmail.com,0,1,1,1,1,1,1,0,0,1,0,2017-05-01T00:17:43Z,2017-05-01T00:17:51Z,2017-05-01T00:18:11Z,2017-05-01T00:18:33Z,2017-05-01T00:18:55Z,2017-05-01T00:19:41Z,2017-05-01T00:20:32Z,2017-05-01T00:21:21Z,2017-05-01T00:22:08Z,2017-05-01T00:22:52Z,2017-05-01T00:23:40Z
UPXWZ8813U@gmail.com,0,1,0,1,1,1,0,1,1,1,1,2017-05-01T06:17:36Z,2017-05-01T06:17:48Z,2017-05-01T06:18:08Z,2017-05-01T06:18:33Z,2017-05-01T06:18:52Z,2017-05-01T06:19:34Z,2017-05-01T06:20:27Z,2017-05-01T06:21:15Z,2017-05-01T06:22:08Z,2017-05-01T06:22:59Z,2017-05-01T06:23:49Z
ECDEM7888E@gmail.com,0,0,1,1,1,1,0,0,1,1,1,2017-05-01T07:49:13Z,2017-05-01T07:49:26Z,2017-05-01T07:49:37Z,2017-05-01T07:50:01Z,2017-05-01T07:50:19Z,2017-05-01T07:51:14Z,2017-05-01T07:52:02Z,2017-05-01T07:52:53Z,2017-05-01T07:53:46Z,2017-05-01T07:54:42Z,2017-05-01T07:55:28Z
NWGDV0987P@gmail.com,1,1,1,1,1,1,1,0,0,0,1,2017-05-01T12:44:13Z,2017-05-01T12:44:29Z,2017-05-01T12:44:40Z,2017-05-01T12:45:06Z,2017-05-01T12:45:25Z,2017-05-01T12:46:03Z,2017-05-01T12:47:00Z,2017-05-01T12:47:55Z,2017-05-01T12:48:44Z,2017-05-01T12:49:34Z,2017-05-01T12:50:33Z
FTXHN4576J@gmail.com,1,1,1,1,1,1,1,1,0,1,0,2017-05-01T18:43:35Z,2017-05-01T18:43:45Z,2017-05-01T18:43:56Z,2017-05-01T18:44:22Z,2017-05-01T18:44:39Z,2017-05-01T18:45:19Z,2017-05-01T18:46:06Z,2017-05-01T18:47:00Z,2017-05-01T18:47:54Z,2017-05-01T18:48:47Z,2017-05-01T18:49:41Z
ITNWT9882E@gmail.com,1,1,1,1,0,1,1,1,0,1,0,2017-05-02T03:28:28Z,2017-05-02T03:28:44Z,2017-05-02T03:28:55Z,2017-05-02T03:29:10Z,2017-05-02T03:29:32Z,2017-05-02T03:30:09Z,2017-05-02T03:31:00Z,2017-05-02T03:31:50Z,2017-05-02T03:32:32Z,2017-05-02T03:33:19Z,2017-05-02T03:34:08Z
FANED5031A@gmail.com,0,1,1,1,1,1,0,1,0,1,0,2017-05-02T09:48:07Z,2017-05-02T09:48:15Z,2017-05-02T09:48:34Z,2017-05-02T09:48:54Z,2017-05-02T09:49:13Z,2017-05-02T09:49:58Z,2017-05-02T09:50:48Z,2017-05-02T09:51:39Z,2017-05-02T09:52:28Z,2017-05-02T09:53:21Z,2017-05-02T09:54:11Z
FQYJV1821Q@gmail.com,1,0,0,1,0,1,1,1,1,0,1,2017-05-02T20:25:39Z,2017-05-02T20:25:46Z,2017-05-02T20:26:04Z,2017-05-02T20:26:24Z,2017-05-02T20:26:42Z,2017-05-02T20:27:21Z,2017-05-02T20:28:08Z,2017-05-02T20:28:51Z,2017-05-02T20:29:47Z,2017-05-02T20:30:36Z,2017-05-02T20:31:29Z
DAVYO4155E@gmail.com,0,1,0,1,1,0,1,1,0,0,1,2017-05-03T01:58:04Z,2017-05-03T01:58:18Z,2017-05-03T01:58:32Z,2017-05-03T01:58:52Z,2017-05-03T01:59:13Z,2017-05-03T01:59:57Z,2017-05-03T02:00:50Z,2017-05-03T02:01:44Z,2017-05-03T02:02:39Z,2017-05-03T02:03:32Z,2017-05-03T02:04:26Z
IJEFL0871K@gmail.com,0,1,0,1,1,1,1,0,0,1,1,2017-05-03T03:57:31Z,2017-05-03T03:57:37Z,2017-05-03T03:57:50Z,2017-05-03T03:58:07Z,2017-05-03T03:58:25Z,2017-05-03T03:59:06Z,2017-05-03T03:59:52Z,2017-05-03T04:00:36Z,2017-05-03T04:01:16Z,2017-05-03T04:02:04Z,2017-05-03T04:02:47Z
